name,command,clear
RATE KNOB 127,187F,
RATE KNOB 128,1880,
RATE KNOB 129,1881,
RATE KNOB 130,1882,
RATE KNOB 131,1883,
RATE KNOB 132,1884,
RATE KNOB 133,1885,
RATE KNOB 134,1886,
RATE KNOB 135,1887,
RATE KNOB 136,1888,
RATE KNOB 137,1889,
RATE KNOB 138,188A,
RATE KNOB 139,188B,
RATE KNOB 140,188C,
RATE KNOB 141,188D,
RATE KNOB 142,188E,
RATE KNOB 143,188F,
RATE KNOB 144,1890,
RATE KNOB 145,1891,
RATE KNOB 146,1892,
RATE KNOB 147,1893,
RATE KNOB 148,1894,
RATE KNOB 149,1895,
RATE KNOB 150,1896,
RATE KNOB 151,1897,
RATE KNOB 152,1898,
RATE KNOB 153,1899,
RATE KNOB 154,189A,
RATE KNOB 155,189B,
RATE KNOB 156,189C,
RATE KNOB 157,189D,
RATE KNOB 158,189E,
RATE KNOB 159,189F,
RATE KNOB 160,18A0,
RATE KNOB 161,18A1,
RATE KNOB 162,18A2,
RATE KNOB 163,18A3,
RATE KNOB 164,18A4,
RATE KNOB 165,18A5,
RATE KNOB 166,18A6,
RATE KNOB 167,18A7,
RATE KNOB 168,18A8,
RATE KNOB 169,18A9,
RATE KNOB 170,18AA,
RATE KNOB 171,18AB,
RATE KNOB 172,18AC,
RATE KNOB 173,18AD,
RATE KNOB 174,18AE,
RATE KNOB 175,18AF,
RATE KNOB 176,18B0,
RATE KNOB 177,18B1,
RATE KNOB 178,18B2,
RATE KNOB 179,18B3,
RATE KNOB 180,18B4,
RATE KNOB 181,18B5,
RATE KNOB 182,18B6,
RATE KNOB 183,18B7,
RATE KNOB 184,18B8,
RATE KNOB 185,18B9,
RATE KNOB 186,18BA,
RATE KNOB 187,18BB,
RATE KNOB 188,18BC,
RATE KNOB 189,18BD,
RATE KNOB 190,18BE,
RATE KNOB 191,18BF,
RATE KNOB 192,18C0,
RATE KNOB 193,18C1,
RATE KNOB 194,18C2,
RATE KNOB 195,18C3,
RATE KNOB 196,18C4,
RATE KNOB 197,18C5,
RATE KNOB 198,18C6,
RATE KNOB 199,18C7,
RATE KNOB 200,18C8,
RATE KNOB 201,18C9,
RATE KNOB 202,18CA,
RATE KNOB 203,18CB,
RATE KNOB 204,18CC,
RATE KNOB 205,18CD,
RATE KNOB 206,18CE,
RATE KNOB 207,18CF,
RATE KNOB 208,18D0,
RATE KNOB 209,18D1,
RATE KNOB 210,18D2,
RATE KNOB 211,18D3,
RATE KNOB 212,18D4,
RATE KNOB 213,18D5,
RATE KNOB 214,18D6,
RATE KNOB 215,18D7,
RATE KNOB 216,18D8,
RATE KNOB 217,18D9,
RATE KNOB 218,18DA,
RATE KNOB 219,18DB,
RATE KNOB 220,18DC,
RATE KNOB 221,18DD,
RATE KNOB 222,18DE,
RATE KNOB 223,18DF,
RATE KNOB 224,18E0,
RATE KNOB 225,18E1,
RATE KNOB 226,18E2,
RATE KNOB 227,18E3,
RATE KNOB 228,18E4,
RATE KNOB 229,18E5,
RATE KNOB 230,18E6,
RATE KNOB 231,18E7,
RATE KNOB 232,18E8,
RATE KNOB 233,18E9,
RATE KNOB 234,18EA,
RATE KNOB 235,18EB,
RATE KNOB 236,18EC,
RATE KNOB 237,18ED,
RATE KNOB 238,18EE,
RATE KNOB 239,18EF,
RATE KNOB 240,18F0,
RATE KNOB 241,18F1,
RATE KNOB 242,18F2,
RATE KNOB 243,18F3,
RATE KNOB 244,18F4,
RATE KNOB 245,18F5,
RATE KNOB 246,18F6,
RATE KNOB 247,18F7,
RATE KNOB 248,18F8,
RATE KNOB 249,18F9,
RATE KNOB 250,18FA,
RATE KNOB 251,18FB,
RATE KNOB 252,18FC,
RATE KNOB 253,18FD,
RATE KNOB 254,18FE,
RATE KNOB 255,18FF,
T-BAR 0,8000,
T-BAR 1,8001,
T-BAR 2,8002,
T-BAR 3,8003,
T-BAR 4,8004,
T-BAR 5,8005,
T-BAR 6,8006,
T-BAR 7,8007,
T-BAR 8,8008,
T-BAR 9,8009,
T-BAR 10,800A,
T-BAR 11,800B,
T-BAR 12,800C,
T-BAR 13,800D,
T-BAR 14,800E,
T-BAR 15,800F,
T-BAR 16,8010,
T-BAR 17,8011,
T-BAR 18,8012,
T-BAR 19,8013,
T-BAR 20,8014,
T-BAR 21,8015,
T-BAR 22,8016,
T-BAR 23,8017,
T-BAR 24,8018,
T-BAR 25,8019,
T-BAR 26,801A,
T-BAR 27,801B,
