name,command,clear
TRANSITION SPEED KNOB 72,~848,
TRANSITION SPEED KNOB 73,~849,
TRANSITION SPEED KNOB 74,~84A,
TRANSITION SPEED KNOB 75,~84B,
TRANSITION SPEED KNOB 76,~84C,
TRANSITION SPEED KNOB 77,~84D,
TRANSITION SPEED KNOB 78,~84E,
TRANSITION SPEED KNOB 79,~84F,
TRANSITION SPEED KNOB 80,~850,
TRANSITION SPEED KNOB 81,~851,
TRANSITION SPEED KNOB 82,~852,
TRANSITION SPEED KNOB 83,~853,
TRANSITION SPEED KNOB 84,~854,
TRANSITION SPEED KNOB 85,~855,
TRANSITION SPEED KNOB 86,~856,
TRANSITION SPEED KNOB 87,~857,
TRANSITION SPEED KNOB 88,~858,
TRANSITION SPEED KNOB 89,~859,
TRANSITION SPEED KNOB 90,~85A,
TRANSITION SPEED KNOB 91,~85B,
TRANSITION SPEED KNOB 92,~85C,
TRANSITION SPEED KNOB 93,~85D,
TRANSITION SPEED KNOB 94,~85E,
TRANSITION SPEED KNOB 95,~85F,
TRANSITION SPEED KNOB 96,~860,
TRANSITION SPEED KNOB 97,~861,
TRANSITION SPEED KNOB 98,~862,
TRANSITION SPEED KNOB 99,~863,
TRANSITION SPEED KNOB 100,~864,
TRANSITION SPEED KNOB 101,~865,
TRANSITION SPEED KNOB 102,~866,
TRANSITION SPEED KNOB 103,~867,
TRANSITION SPEED KNOB 104,~868,
TRANSITION SPEED KNOB 105,~869,
TRANSITION SPEED KNOB 106,~86A,
TRANSITION SPEED KNOB 107,~86B,
TRANSITION SPEED KNOB 108,~86C,
TRANSITION SPEED KNOB 109,~86D,
TRANSITION SPEED KNOB 110,~86E,
TRANSITION SPEED KNOB 111,~86F,
TRANSITION SPEED KNOB 112,~870,
TRANSITION SPEED KNOB 113,~871,
TRANSITION SPEED KNOB 114,~872,
TRANSITION SPEED KNOB 115,~873,
TRANSITION SPEED KNOB 116,~874,
TRANSITION SPEED KNOB 117,~875,
TRANSITION SPEED KNOB 118,~876,
TRANSITION SPEED KNOB 119,~877,
TRANSITION SPEED KNOB 120,~878,
TRANSITION SPEED KNOB 121,~879,
TRANSITION SPEED KNOB 122,~87A,
TRANSITION SPEED KNOB 123,~87B,
TRANSITION SPEED KNOB 124,~87C,
TRANSITION SPEED KNOB 125,~87D,
TRANSITION SPEED KNOB 126,~87E,
TRANSITION SPEED KNOB 127,~87F,
TRANSITION SPEED KNOB 128,~880,
TRANSITION SPEED KNOB 129,~881,
TRANSITION SPEED KNOB 130,~882,
TRANSITION SPEED KNOB 131,~883,
TRANSITION SPEED KNOB 132,~884,
TRANSITION SPEED KNOB 133,~885,
TRANSITION SPEED KNOB 134,~886,
TRANSITION SPEED KNOB 135,~887,
TRANSITION SPEED KNOB 136,~888,
TRANSITION SPEED KNOB 137,~889,
TRANSITION SPEED KNOB 139,~88B,
TRANSITION SPEED KNOB 140,~88C,
TRANSITION SPEED KNOB 141,~88D,
TRANSITION SPEED KNOB 142,~88E,
TRANSITION SPEED KNOB 143,~88F,
TRANSITION SPEED KNOB 144,~890,
TRANSITION SPEED KNOB 145,~891,
TRANSITION SPEED KNOB 146,~892,
TRANSITION SPEED KNOB 147,~893,
TRANSITION SPEED KNOB 148,~894,
TRANSITION SPEED KNOB 149,~895,
TRANSITION SPEED KNOB 150,~896,
TRANSITION SPEED KNOB 151,~897,
TRANSITION SPEED KNOB 152,~898,
TRANSITION SPEED KNOB 153,~899,
TRANSITION SPEED KNOB 154,~89A,
TRANSITION SPEED KNOB 155,~89B,
TRANSITION SPEED KNOB 156,~89C,
TRANSITION SPEED KNOB 157,~89D,
TRANSITION SPEED KNOB 158,~89E,
TRANSITION SPEED KNOB 159,~89F,
TRANSITION SPEED KNOB 160,~8A0,
TRANSITION SPEED KNOB 161,~8A1,
TRANSITION SPEED KNOB 162,~8A2,
TRANSITION SPEED KNOB 163,~8A3,
TRANSITION SPEED KNOB 164,~8A4,
TRANSITION SPEED KNOB 165,~8A5,
TRANSITION SPEED KNOB 166,~8A6,
TRANSITION SPEED KNOB 167,~8A7,
TRANSITION SPEED KNOB 168,~8A8,
TRANSITION SPEED KNOB 169,~8A9,
TRANSITION SPEED KNOB 170,~8AA,
TRANSITION SPEED KNOB 171,~8AB,
TRANSITION SPEED KNOB 172,~8AC,
TRANSITION SPEED KNOB 173,~8AD,
TRANSITION SPEED KNOB 174,~8AE,
TRANSITION SPEED KNOB 175,~8AF,
TRANSITION SPEED KNOB 176,~8B0,
TRANSITION SPEED KNOB 177,~8B1,
TRANSITION SPEED KNOB 178,~8B2,
TRANSITION SPEED KNOB 179,~8B3,
TRANSITION SPEED KNOB 180,~8B4,
TRANSITION SPEED KNOB 181,~8B5,
